0,199
1,312
2,336
3,6
4,104
5,114
6,286
7,12
8,209
9,112
10,85
11,433
12,427
13,315
14,183
15,438
16,285
17,135
18,471
19,267
20,266
21,313
22,469
23,455
24,242
25,244
26,24
27,385
28,232
29,249
30,98
31,236
32,15
33,225
34,39
35,390
36,19
37,38
38,470
39,103
40,460
41,345
42,62
43,241
44,88
45,300
46,255
47,216
48,51
49,146
50,178
51,443
52,420
53,21
54,425
55,9
56,109
57,212
58,32
59,457
60,325
61,337
62,486
63,124
64,346
65,405
66,434
67,40
68,377
69,75
70,487
71,428
72,372
73,180
74,465
75,58
76,362
77,289
78,181
79,49
80,354
81,4
82,8
83,277
84,302
85,328
86,282
87,141
88,30
89,103
90,244
91,385
92,232
93,474
94,193
95,388
96,311
97,140
98,327
99,162
100,256
101,393
102,423
103,224
104,297
105,57
106,105
107,166
108,406
109,444
110,441
111,394
112,273
113,197
114,174
115,18
116,432
117,413
118,90
119,378
120,56
121,375
122,389
123,127
124,194
125,497
126,408
127,260
128,239
129,332
130,14
131,402
132,370
133,480
134,46
135,445
136,272
137,333
138,376
139,102
140,200
141,366
142,223
143,3
144,235
145,436
146,447
147,42
148,5
149,198
150,96
151,138
152,414
153,27
154,347
155,259
156,139
157,430
158,287
159,356
160,120
161,227
162,153
163,296
164,44
165,401
166,415
167,245
168,202
169,233
170,246
171,192
172,396
173,451
174,171
175,374
176,326
177,498
178,131
179,173
180,144
181,165
182,363
183,492
184,172
185,92
186,279
187,170
188,226
189,16
190,240
191,353
192,349
193,458
194,154
195,364
196,13
197,371
198,185
199,147
200,380
