0,161
1,2
2,292
3,373
4,381
5,116
6,334
7,234
8,20
9,45
10,206
11,132
12,466
13,100
14,95
15,65
16,182
17,253
18,407
19,278
20,263
21,77
22,106
23,421
24,391
25,275
26,288
27,411
28,133
29,397
30,203
31,410
32,26
33,496
34,160
35,316
36,47
37,222
38,459
39,348
40,175
41,463
42,350
43,215
44,247
45,472
46,264
47,213
48,489
49,218
50,190
51,322
52,76
53,490
54,319
55,45
56,156
57,66
58,95
59,65
60,352
61,118
62,189
63,298
64,482
65,310
66,422
67,461
68,485
69,68
70,0
71,478
72,320
73,134
74,382
75,343
76,111
77,331
78,167
79,151
80,107
81,477
82,191
83,119
84,351
85,176
86,107
87,293
88,305
89,52
90,442
91,383
92,269
93,48
94,152
95,158
96,439
97,101
98,484
99,110
100,82
101,129
102,359
103,228
104,483
105,43
106,64
107,493
108,251
109,89
110,10
111,201
112,301
113,221
114,113
115,164
116,418
117,360
